rank,verbatim_factor,total_refs,transcripts,cross_case_factor,confidence,rationale
6194,sustainable WASH services,1,1,Sustainability,high,matched 'sustainab'
6195,sustainable WASH solutions,1,1,Sustainability,high,matched 'sustainab'
6196,sustainable change,1,1,Sustainability,high,matched 'sustainab'
6197,sustainable change in water sector,1,1,Sustainability,high,matched 'sustainab'
6198,sustainable communal latrine service,1,1,Sustainability,high,'sustainab' over 'latrine'
6199,sustainable power outage resolution,1,1,Infrastructure,high,'power outage' over 'sustainab'
6200,sustainable sanitation and water service,1,1,Service Performance,high,'water service' over 'sustainab'
6201,sustainable sanitation behavior,1,1,Sustainability,high,'sustainab' over 'behavior'
6202,sustainable sanitation implementation,1,1,Infrastructure,high,'implementation' over 'sustainab'
6203,sustainable sanitation service delivery,1,1,Sustainability,high,'sustainable sanitation service' over 'sanitation service'
6204,sustainable solutions,1,1,Sustainability,high,matched 'sustainab'
6205,sustainable use of common water resources,1,1,Environmental,high,'water resource' over 'sustainab'
6206,sustainable waste handling system,1,1,Sustainability,high,matched 'sustainab'
6207,sustainable water availability,1,1,Service Performance,high,'water availab' over 'sustainab'
6208,sustainable water problem alleviation,1,1,Sustainability,high,matched 'sustainab'
6209,sustainable water project service,1,1,Sustainability,high,matched 'sustainab'
6210,sustainable water service in expansion areas,1,1,Sustainability,high,'sustainable water service' over 'water service'
6211,sustainable water services,1,1,Sustainability,high,'sustainable water service' over 'water service'
6212,sustainable water solutions,1,1,Sustainability,high,matched 'sustainab'
6213,sustainable water supply solution,1,1,Service Performance,high,'water supply' over 'sustainab'
6214,sustainable water system,1,1,Sustainability,high,matched 'sustainab'
6215,sustained behavior change,1,1,Community / Users,high,matched 'behavior'
6216,sustained compliance,1,1,Laws + Regulations,high,matched 'compliance'
6217,sustained inter-sector coordination,1,1,Coordination,high,matched 'inter-sector'
6218,system breakdown,1,1,Service Performance,high,matched 'breakdown'
6219,system operations and maintenance,1,1,O&M,high,matched 'operations and maintenance'
6220,system overload,1,1,O&M,low,token-overlap fallback (2)
6221,system simplification,1,1,O&M,low,token-overlap fallback (2)
6222,systematic coordination,1,1,Coordination,high,matched 'coordinat'
6223,systematic monitoring structure,1,1,Monitoring,high,matched 'monitoring'
6224,systematic reporting capacity,1,1,Monitoring,high,matched 'reporting'
6225,systems maintenance,1,1,O&M,high,matched 'maintenance'
6226,tailor-made short courses,1,1,Service Performance,low,token-overlap fallback (1)
6227,tanker supply,1,1,Service Performance,low,token-overlap fallback (1)
6228,tap water contamination,1,1,Service Performance,high,'water contaminat' over 'contaminat'
6229,targeted NGO interventions,1,1,Coordination,medium,matched 'ngo'
6230,targeted intervention planning,1,1,Planning,high,matched 'planning'
6231,tariff adequacy,1,1,Community Finance,high,matched 'tariff'
6232,tariff adjustment,1,1,Community Finance,high,matched 'tariff'
6233,tariff collection,1,1,Community Finance,high,matched 'tariff'
6234,tariff increases,1,1,Community Finance,high,matched 'tariff'
6235,tariff level,1,1,Community Finance,high,matched 'tariff'
6236,tariff levels,1,1,Community Finance,high,matched 'tariff'
6237,tariff setting,1,1,Community Finance,high,matched 'tariff'
6238,task coordination,1,1,Coordination,high,matched 'coordinat'
6239,task force monthly coordination,1,1,Coordination,high,matched 'coordinat'
6240,task implementation effectiveness,1,1,Infrastructure,high,matched 'implementation'
6241,task sharing between stakeholders,1,1,Coordination,high,matched 'stakeholder'
6242,technical advice to committee,1,1,Community Management,high,matched 'committee'
6243,technical and financial support from regional water bureau,1,1,Govt / External Finance,high,matched 'financial support'
6244,technical and legal consultant involvement in town design,1,1,Planning,medium,'design' over 'legal'
6245,technical and material support from stakeholders,1,1,Coordination,high,matched 'stakeholder'
6246,technical and political leader alignment,1,1,Politics,high,matched 'politic'
6247,technical capacity of committees,1,1,Community Management,high,matched 'committee'
6248,technical capacity of water management committees,1,1,Community Management,high,matched 'water management committee'
6249,technical capacity of water management teams,1,1,Service Performance,low,token-overlap fallback (31)
6250,technical capacity problems,1,1,Capacity Building,low,token-overlap fallback (9)
6251,technical committee with expert majority,1,1,Community Management,high,'committee' over 'expert'
6252,technical defects,1,1,Capacity Building,low,token-overlap fallback (2)
6253,technical diagnostic skills,1,1,Capacity Building,low,token-overlap fallback (3)
6254,technical expert availability,1,1,Govt Management,high,matched 'expert'
6255,technical expert participation in town planning,1,1,Community Management,high,'participation' over 'planning'
6256,technical expert staffing,1,1,Govt Management,high,matched 'staffing'
6257,technical expert training programs,1,1,Capacity Building,medium,'training' over 'expert'
6258,technical expertise,1,1,Govt Management,high,matched 'expert'
6259,technical experts at woreda level,1,1,Govt Management,high,matched 'woreda'
6260,technical issue understanding,1,1,Capacity Building,low,token-overlap fallback (2)
6261,technical know-how,1,1,Capacity Building,low,token-overlap fallback (2)
6262,technical knowledge,1,1,Capacity Building,low,token-overlap fallback (2)
6263,technical knowledge and advisory support,1,1,Govt / External Finance,low,token-overlap fallback (5)
6264,technical knowledge gap,1,1,Capacity Building,low,token-overlap fallback (2)
6265,technical knowledge provision,1,1,Capacity Building,low,token-overlap fallback (2)
6266,technical maintenance,1,1,O&M,high,matched 'maintenance'
6267,technical service to rural schemes,1,1,Service Performance,low,token-overlap fallback (17)
6268,technical skill,1,1,Capacity Building,low,token-overlap fallback (5)
6269,technical skill training for WASHCos,1,1,Capacity Building,medium,'training' over 'washco'
6270,technical skills,1,1,Capacity Building,low,token-overlap fallback (3)
6271,technical skills capacity,1,1,Capacity Building,low,token-overlap fallback (10)
6272,technical skills development,1,1,Capacity Building,high,matched 'skills development'
6273,technical skills for equipment management,1,1,Infrastructure,high,matched 'equipment'
6274,technical skills training for community,1,1,Community / Users,medium,'community' over 'training'
6275,technical support at community level,1,1,Capacity Building,high,'technical support' over 'community'
6276,technical support for water schemes,1,1,Capacity Building,high,matched 'technical support'
6277,technical support from zonal offices and NGOs,1,1,Capacity Building,high,'technical support' over 'zonal'
6278,technical support to committees,1,1,Capacity Building,high,'technical support' over 'committee'
6279,technical teams for gap analysis,1,1,Capacity Building,low,token-overlap fallback (2)
6280,technical training for community,1,1,Community / Users,medium,'community' over 'training'
6281,technical training for community representatives,1,1,Community / Users,medium,'community' over 'training'
6282,technical workforce quality,1,1,Govt Management,high,matched 'workforce'
6283,technician deployment,1,1,O&M,high,matched 'technician'
6284,technician field experience,1,1,O&M,high,matched 'technician'
6285,technician performance,1,1,O&M,high,matched 'technician'
6286,technician placement at regional bureau,1,1,O&M,high,matched 'technician'
6287,technician responsibility,1,1,O&M,high,matched 'technician'
6288,technician shortage,1,1,O&M,high,matched 'technician'
6289,technician travel costs,1,1,O&M,high,matched 'technician'
6290,technician travel distance,1,1,O&M,high,matched 'technician'
6291,technology and practice adoption,1,1,Infrastructure,high,matched 'technology'
6292,technology appropriateness,1,1,Infrastructure,high,matched 'technology'
6293,technology assessment prior to adoption,1,1,Infrastructure,medium,'technology' over 'assessment'
6294,technology guidance,1,1,Infrastructure,high,matched 'technology'
6295,technology maintenance,1,1,O&M,medium,'maintenance' over 'technology'
6296,technology running cost,1,1,O&M,high,'running cost' over 'technology'
6297,technology selection,1,1,Infrastructure,high,'technology' over 'election'
6298,technology selection accuracy,1,1,Infrastructure,high,'technology' over 'election'
6299,technology selection appropriateness,1,1,Infrastructure,high,'technology' over 'election'
6300,technology sustainability,1,1,Infrastructure,medium,'technology' over 'sustainab'
6301,technology upgrade,1,1,Infrastructure,high,matched 'technology'
6302,temporary land agreements,1,1,Laws + Regulations,low,token-overlap fallback (6)
6303,temporary septic tanks,1,1,Infrastructure,high,matched 'septic'
6304,temporary solid waste dumping site,1,1,Infrastructure,medium,'dumping site' over 'solid waste'
6305,temporary solution,1,1,Community / Users,low,no match — defaulted to Community / Users
6306,temporary waste disposal site,1,1,Infrastructure,high,matched 'disposal site'
6307,third party land ownership,1,1,Laws + Regulations,high,'land ownership' over 'ownership'
6308,time and cost efficiency,1,1,O&M,low,token-overlap fallback (8)
6309,time and resource savings,1,1,Community Finance,high,matched 'savings'
6310,time for income-generating activities,1,1,Community Finance,high,matched 'income'
6311,time saved from water fetching,1,1,Service Performance,low,token-overlap fallback (32)
6312,time to collect water,1,1,Service Performance,low,token-overlap fallback (34)
6313,timeliness of expenditure reporting,1,1,Monitoring,high,matched 'reporting'
6314,timely bill settlement,1,1,Community / Users,high,matched 'settlement'
6315,timely borehole commissioning after construction,1,1,Infrastructure,high,matched 'construction'
6316,timely borehole maintenance,1,1,O&M,high,'maintenance' over 'borehole'
6317,timely borehole repair,1,1,Infrastructure,medium,'borehole' over 'repair'
6318,timely budget release,1,1,Govt / External Finance,high,matched 'budget'
6319,timely facility repair,1,1,Infrastructure,medium,'facility' over 'repair'
6320,timely government intervention,1,1,Govt Management,high,matched 'government intervention'
6321,timely infrastructure repair,1,1,Infrastructure,high,'infrastructure' over 'repair'
6322,timely issue resolution,1,1,Laws + Regulations,low,token-overlap fallback (1)
6323,timely latrine emptying,1,1,Infrastructure,high,matched 'latrine'
6324,timely machinery repair,1,1,Infrastructure,high,'machinery' over 'repair'
6325,timely maintenance and repair,1,1,O&M,high,matched 'maintenance'
6326,timely maintenance and replacement of pipes and tankers,1,1,O&M,high,matched 'maintenance'
6327,timely materials and spare parts supply,1,1,O&M,high,matched 'spare part'
6328,timely monitoring of changes,1,1,Monitoring,high,matched 'monitoring'
6329,timely pipeline repair,1,1,Infrastructure,medium,'pipeline' over 'repair'
6330,timely problem resolution,1,1,Service Performance,low,token-overlap fallback (1)
6331,timely problem solving,1,1,Service Performance,low,token-overlap fallback (1)
6332,timely release of subsequent tranche of funds,1,1,Community / Users,low,no match — defaulted to Community / Users
6333,timely repair of water facilities,1,1,Infrastructure,high,'facilities' over 'repair'
6334,timely repair of water infrastructure,1,1,Infrastructure,high,'infrastructure' over 'repair'
6335,timely repair of water schemes,1,1,O&M,high,matched 'repair'
6336,timely repairs,1,1,O&M,high,matched 'repair'
6337,timely reporting,1,1,Monitoring,high,matched 'reporting'
6338,timely reporting of activities and trainings,1,1,Monitoring,medium,'reporting' over 'training'
6339,timely resolution of water problems,1,1,Service Performance,low,token-overlap fallback (29)
6340,timely servicing schedule (job card system),1,1,O&M,high,matched 'servicing'
6341,timely supply of maintenance materials,1,1,O&M,high,matched 'maintenance'
6342,timely supply of materials,1,1,Service Performance,low,token-overlap fallback (1)
6343,timely system failure response,1,1,O&M,low,token-overlap fallback (2)
6344,timely task completion,1,1,Community / Users,low,no match — defaulted to Community / Users
6345,timely training of water committees,1,1,Community Management,high,'water committee' over 'training'
6346,timely waste collection,1,1,Service Performance,high,matched 'waste collect'
6347,timely water scheme repair,1,1,O&M,high,matched 'repair'
6348,toilet availability,1,1,Infrastructure,high,matched 'toilet'
6349,toilet construction and use,1,1,Infrastructure,high,matched 'construction'
6350,toilet maintenance and cleanliness,1,1,O&M,medium,'maintenance' over 'cleanliness'
6351,toilet sanitation,1,1,Infrastructure,high,matched 'toilet'
6352,toilet use,1,1,Infrastructure,high,matched 'toilet'
6353,toilet use and handwashing practices,1,1,Infrastructure,high,matched 'toilet'
6354,toilet use and maintenance,1,1,O&M,high,'maintenance' over 'toilet'
6355,toilet use culture,1,1,Community / Users,low,'culture' over 'toilet'
6356,toilet waste contamination of water drainage,1,1,Community / Users,medium,'contaminat' over 'drainage'
6357,toll-free communication channel,1,1,Capacity Building,low,token-overlap fallback (2)
6358,topography and desert climate,1,1,Environmental,high,matched 'topography'
6359,topography and natural barriers,1,1,Environmental,high,matched 'topography'
6360,tourism,1,1,Community / Users,low,no match — defaulted to Community / Users
6361,tourism and recreation opportunities,1,1,Community / Users,low,no match — defaulted to Community / Users
6362,tourism attraction,1,1,Community / Users,low,no match — defaulted to Community / Users
6363,tourism attractiveness,1,1,Community / Users,low,no match — defaulted to Community / Users
6364,town administration and donor collaboration,1,1,Govt Management,high,'town administration' over 'collaborat'
6365,town administration and health office engagement,1,1,Govt Management,high,'town administration' over 'health'
6366,town administration budget authority,1,1,Govt Management,high,'town administration' over 'budget'
6367,town administration commitment,1,1,Govt Management,high,matched 'town administration'
6368,town administration fundraising,1,1,Govt Management,high,matched 'town administration'
6369,town administration prioritization of dumping site,1,1,Govt Management,high,'town administration' over 'prioritization'
6370,town administration-stakeholder collaboration,1,1,Govt Management,high,'town administration' over 'stakeholder'
6371,town administration–municipality–water utility coordination,1,1,Govt Management,high,'town administration' over 'coordinat'
6372,town administration–water utility coordination,1,1,Govt Management,high,'town administration' over 'coordinat'
6373,town aesthetic value and tourism,1,1,Govt Management,low,token-overlap fallback (2)
6374,town aesthetics,1,1,Govt Management,low,token-overlap fallback (2)
6375,town biodiversity and aesthetic quality,1,1,Service Performance,low,token-overlap fallback (3)
6376,town capacity for waste management,1,1,Service Performance,high,matched 'waste management'
6377,town development revenue,1,1,Community Finance,high,matched 'revenue'
6378,town environment and image,1,1,Environmental,high,matched 'environment'
6379,town growth and development,1,1,Planning,high,matched 'town growth'
6380,town model status,1,1,Govt Management,low,token-overlap fallback (2)
6381,town municipality cooperation,1,1,Coordination,medium,'cooperation' over 'municipal'
6382,town population growth,1,1,Community / Users,high,matched 'population'
6383,town sanitation,1,1,Service Performance,low,token-overlap fallback (10)
6384,town sanitation and beautification,1,1,Service Performance,low,token-overlap fallback (10)
6385,town sanitation status,1,1,Service Performance,high,matched 'sanitation status'
6386,town size,1,1,Govt Management,low,token-overlap fallback (2)
6387,town water provision,1,1,Service Performance,high,'water provis' over 'town water'
6388,town water service capacity,1,1,Service Performance,high,'water service' over 'town water'
6389,town water service improvement,1,1,Service Performance,high,'service improv' over 'town water'
6390,town water services,1,1,Service Performance,high,'water service' over 'town water'
6391,town water utility technical and financial assistance,1,1,Govt / External Finance,high,'financial assistance' over 'town water'
6392,trachoma prevalence,1,1,Community / Users,low,no match — defaulted to Community / Users
6393,tracking of water operations,1,1,Monitoring,high,matched 'tracking'
6394,trade and service sector tax compliance,1,1,Laws + Regulations,high,matched 'compliance'
6395,trader accountability for waste,1,1,Monitoring,high,'accountab' over 'trader'
6396,traditional data management system,1,1,Monitoring,high,matched 'data management'
6397,traditional sanitation practices,1,1,Service Performance,low,token-overlap fallback (10)
6398,traditional waste disposal customs,1,1,Community / Users,high,matched 'customs'
6399,traditional waste disposal method,1,1,Community / Users,low,token-overlap fallback (11)
6400,trained artisan availability,1,1,Monitoring,low,token-overlap fallback (1)
6401,trained maintenance experts,1,1,O&M,high,'maintenance' over 'expert'
6402,trained management and repair capacity,1,1,O&M,high,matched 'repair'
6403,trained monitors and supervisors,1,1,Monitoring,high,matched 'supervis'
6404,trained project manager,1,1,Planning,low,token-overlap fallback (7)
6405,trained sub-county staff,1,1,Govt Management,high,matched 'sub-county'
6406,trained technical human power,1,1,Govt Management,high,matched 'man power'
6407,trained water committee members,1,1,Community Management,high,matched 'water committee'
6408,trainee knowledge application,1,1,Coordination,low,token-overlap fallback (1)
6409,trainee selection quality,1,1,Politics,high,matched 'election'
6410,training (short and long courses),1,1,Capacity Building,high,matched 'training'
6411,training all group members,1,1,Capacity Building,high,matched 'training'
6412,training and capacity building before infrastructure,1,1,Infrastructure,medium,'infrastructure' over 'capacity build'
6413,training budget,1,1,Capacity Building,medium,'training' over 'budget'
6414,training budget availability,1,1,Capacity Building,medium,'training' over 'budget'
6415,training by woreda water office,1,1,Capacity Building,medium,'training' over 'woreda'
6416,training coverage,1,1,Service Performance,medium,'coverage' over 'training'
6417,training curriculum relevance,1,1,Capacity Building,high,matched 'training'
6418,training effectiveness,1,1,Capacity Building,high,matched 'training'
6419,training focus on women,1,1,Capacity Building,high,'training' over 'women'
6420,training for county employees and sector players,1,1,Govt Management,low,'employee' over 'training'
6421,training for hotel/restaurant owners,1,1,Capacity Building,high,matched 'training'
6422,training for sanitation workers,1,1,Capacity Building,high,matched 'training'
6423,training for solid waste collection enterprises,1,1,Service Performance,high,'waste collect' over 'enterprise'
6424,training health extension workers,1,1,Capacity Building,high,'training' over 'health'
6425,training manual development,1,1,Capacity Building,high,matched 'training'
6426,training of project operators,1,1,O&M,medium,'operator' over 'training'
6427,training of skilled manpower,1,1,Govt Management,low,'manpower' over 'training'
6428,training of trainers programs,1,1,Capacity Building,high,matched 'training'
6429,training of water source operators,1,1,O&M,medium,'operator' over 'training'
6430,training on community ownership,1,1,Community Management,high,'community ownership' over 'community'
6431,training on leadership and financial management,1,1,Govt Management,high,'leadership' over 'training'
6432,training on operation and maintenance,1,1,O&M,high,'operation and maintenance' over 'training'
6433,training on proper use and management of facilities,1,1,Infrastructure,medium,'facilities' over 'proper use'
6434,training on small scheme maintenance,1,1,O&M,high,'maintenance' over 'training'
6435,training on water rules and regulations,1,1,Laws + Regulations,medium,'regulation' over 'training'
6436,training programs for plant mechanics,1,1,O&M,medium,'mechanic' over 'training'
6437,training provision,1,1,Capacity Building,high,matched 'training'
6438,training retention in community,1,1,Govt Management,low,'retention' over 'community'
6439,transformer repair speed,1,1,O&M,high,matched 'repair'
6440,transition of government officials,1,1,Govt Management,high,matched 'government'
6441,transparency about project investment,1,1,Community Finance,low,'transparen' over 'investment'
6442,transparency among stakeholders,1,1,Coordination,medium,'stakeholder' over 'transparen'
6443,transparency among water user committee members,1,1,Community Management,high,'water user committee' over 'transparen'
6444,transparency and accountability,1,1,Community Finance,medium,'transparen' over 'accountab'
6445,transparency and accountability in WASH,1,1,Community Finance,medium,'transparen' over 'accountab'
6446,transparency and accountability in committees,1,1,Community Finance,medium,'transparen' over 'committee'
6447,transparency and two-way communication,1,1,Community Finance,high,matched 'transparen'
6448,transparent communication about problems,1,1,Community Finance,high,matched 'transparen'
6449,transparent community discussion,1,1,Community Finance,medium,'transparen' over 'community'
6450,transparent shift scheduling,1,1,Community Finance,medium,'transparen' over 'scheduling'
6451,transport and fuel costs,1,1,O&M,low,'fuel cost' over 'transport'
6452,transport facilities,1,1,Infrastructure,high,matched 'facilities'
6453,transport for water officers,1,1,Infrastructure,high,'transport' over 'officer'
6454,transport infrastructure,1,1,Infrastructure,high,matched 'infrastructure'
6455,transport of raw materials for water scheme construction,1,1,Infrastructure,high,matched 'scheme construction'
6456,transportation facilities,1,1,Infrastructure,high,matched 'facilities'
6457,transportation vehicles,1,1,Infrastructure,high,matched 'transport'
6458,transportation/vehicle availability,1,1,Infrastructure,high,matched 'transport'
6459,trash collection tools and garbage truck,1,1,Infrastructure,medium,matched 'truck'
6460,trash collection tools and garbage truck procurement,1,1,Private Sector,high,'procurement' over 'truck'
6461,travel burden on women,1,1,Community / Users,medium,matched 'women'
6462,travel distance to fetch water,1,1,Service Performance,low,token-overlap fallback (29)
6463,travel long distance to fetch water,1,1,Service Performance,low,token-overlap fallback (29)
6464,treated sewage,1,1,Service Performance,low,token-overlap fallback (1)
6465,treatment expenses,1,1,Infrastructure,low,token-overlap fallback (2)
6466,treatment plant compliance,1,1,Infrastructure,high,'treatment plant' over 'compliance'
6467,treatment plant effectiveness,1,1,Infrastructure,high,matched 'treatment plant'
6468,treatment plant site research,1,1,Infrastructure,high,matched 'treatment plant'
6469,treatment plant site suitability,1,1,Infrastructure,high,matched 'treatment plant'
6470,tree survival,1,1,Environmental,low,token-overlap fallback (1)
6471,tropical climate,1,1,Environmental,high,matched 'climate'
6472,trust deed development,1,1,Infrastructure,low,token-overlap fallback (3)
6473,umbrella water management body,1,1,Service Performance,low,token-overlap fallback (30)
6474,uncontrolled waste disposal,1,1,Community / Users,low,token-overlap fallback (11)
6475,uncoordinated partner projects,1,1,Coordination,high,matched 'coordinat'
6476,underground water contamination,1,1,Service Performance,high,'water contaminat' over 'ground water'
6477,underground water depletion,1,1,Environmental,high,matched 'ground water'
6478,underground water salinity,1,1,Environmental,high,matched 'ground water'
6479,underground water scarcity,1,1,Service Performance,high,'water scarcity' over 'ground water'
6480,underground water schemes,1,1,Environmental,high,matched 'ground water'
6481,understanding of community roles and responsibilities,1,1,Community / Users,high,matched 'community'
6482,understanding of community water project needs,1,1,Community / Users,high,matched 'community'
6483,understanding of project importance,1,1,Planning,low,token-overlap fallback (7)
6484,understanding of project need and purpose,1,1,Planning,low,token-overlap fallback (8)
6485,understanding of sanitation conditions,1,1,Service Performance,high,matched 'sanitation condition'
6486,understanding of waste impact on clean water,1,1,Service Performance,high,matched 'clean water'
6487,understanding of waste impact on community health,1,1,Community / Users,high,matched 'community'
6488,understanding of water revenue purpose,1,1,Community Finance,high,matched 'revenue'
6489,uneven program coverage,1,1,Service Performance,high,matched 'coverage'
6490,unforeseen faults at facilities,1,1,Infrastructure,high,matched 'facilities'
6491,unilateral tariff setting,1,1,Community Finance,high,matched 'tariff'
6492,universal water access,1,1,Service Performance,high,matched 'water access'
6493,university and factory self-sufficient water supply,1,1,Service Performance,high,matched 'water supply'
6494,university demand on town water supply,1,1,Service Performance,high,'water supply' over 'town water'
6495,university establishment,1,1,Community / Users,low,no match — defaulted to Community / Users
6496,university own water source,1,1,Service Performance,low,token-overlap fallback (29)
6497,university research contribution,1,1,Community Management,low,token-overlap fallback (1)
6498,university research on factory pollution,1,1,Environmental,high,matched 'pollution'
6499,university training of experts,1,1,Capacity Building,medium,'training' over 'expert'
6500,university underground water scheme,1,1,Environmental,high,matched 'ground water'
6501,university waste recycling and filtration,1,1,Service Performance,low,token-overlap fallback (6)
6502,unmet water and sanitation service demand,1,1,Service Performance,high,'water and sanitation service' over 'demand'
6503,unregulated spare parts market,1,1,O&M,high,'spare part' over 'regulat'
6504,unregulated waste porters,1,1,Laws + Regulations,high,matched 'regulat'
6505,unresolved minor technical problems,1,1,Capacity Building,low,token-overlap fallback (2)
6506,unsafe river water use,1,1,Environmental,medium,matched 'river'
6507,unsettled payment to electric utility,1,1,Community Finance,low,'payment' over 'utility'
6508,untreated industrial waste release,1,1,Service Performance,low,token-overlap fallback (6)
6509,untreated liquid waste discharge,1,1,Service Performance,high,matched 'liquid waste'
6510,untreated wastewater,1,1,Community / Users,low,no match — defaulted to Community / Users
6511,untreated water use,1,1,Service Performance,low,token-overlap fallback (29)
6512,updated health extension package,1,1,Community / Users,high,matched 'health'
6513,updated technical knowledge and skills,1,1,Capacity Building,low,token-overlap fallback (3)
6514,upstream farming,1,1,Community / Users,high,matched 'farming'
6515,uptake of potable water services,1,1,Service Performance,high,matched 'water service'
6516,urban WASH stakeholder coordination,1,1,Coordination,high,matched 'stakeholder'
6517,urban agriculture productivity,1,1,Community / Users,high,matched 'agriculture'
6518,urban cleanliness,1,1,Community / Users,high,matched 'cleanliness'
6519,urban expansion,1,1,Planning,high,'urban expansion' over 'expansion'
6520,urban greening,1,1,Planning,low,token-overlap fallback (7)
6521,urban infrastructure investment,1,1,Infrastructure,high,'infrastructure' over 'investment'
6522,urban sanitation and hygiene,1,1,Community / Users,high,matched 'sanitation and hygiene'
6523,urban water and sanitation outcomes,1,1,Service Performance,low,token-overlap fallback (39)
6524,urban-appropriate leadership,1,1,Govt Management,high,matched 'leadership'
6525,urbanization and population growth,1,1,Planning,medium,'urbanization' over 'population'
6526,usability of dumping site,1,1,Infrastructure,high,matched 'dumping site'
6527,use of alternative water sources,1,1,Service Performance,low,token-overlap fallback (29)
6528,use of bank accounts,1,1,Community / Users,low,no match — defaulted to Community / Users
6529,use of community/public land for water projects,1,1,Community / Users,high,matched 'community'
6530,use of contaminated water sources,1,1,Community / Users,high,matched 'contaminat'
6531,use of farmers' land as dumping site,1,1,Infrastructure,high,'dumping site' over 'farmer'
6532,use of gensets and grid power,1,1,Infrastructure,low,token-overlap fallback (2)
6533,use of hand washing facilities,1,1,Infrastructure,high,matched 'facilities'
6534,use of indigenous knowledge,1,1,Coordination,low,token-overlap fallback (1)
6535,use of polluted water sources,1,1,Environmental,high,matched 'pollut'
6536,use of quality equipment,1,1,Infrastructure,high,matched 'equipment'
6537,use of river and spring water,1,1,Environmental,high,matched 'spring'
6538,use of secondary consultants,1,1,Community / Users,low,no match — defaulted to Community / Users
6539,use of surface water,1,1,Service Performance,low,token-overlap fallback (29)
6540,use of surface water (river/flood),1,1,Environmental,medium,matched 'flood'
6541,use of unsafe water sources,1,1,Service Performance,high,matched 'safe water'
6542,use of water treatment chemicals,1,1,Service Performance,high,matched 'water treatment'
6543,user committee accountability at handover,1,1,Community Management,high,'user committee' over 'accountab'
6544,user committee financial transparency,1,1,Community Finance,high,'financial transparency' over 'user committee'
6545,user fee payment,1,1,Community Finance,high,'user fee' over 'user'
6546,user fees for public toilets,1,1,Community Finance,medium,'user fee' over 'toilet'
6547,user financial capacity,1,1,Govt / External Finance,high,'financial capacity' over 'user'
6548,user payments alone,1,1,Community Finance,high,'payment' over 'user'
6549,user-county linkages,1,1,Community / Users,medium,matched 'user'
6550,using existing occasions for awareness creation,1,1,Capacity Building,high,'awareness creation' over 'awareness'
6551,utility borehole management,1,1,Infrastructure,medium,'borehole' over 'utility'
6552,utility fee accuracy,1,1,Govt Management,high,matched 'utility'
6553,utility payment settlement,1,1,Community / Users,high,'settlement' over 'payment'
6554,utilization of shelved water study data,1,1,Planning,medium,'study' over 'data'
6555,vacuum truck access,1,1,Service Performance,high,'vacuum truck' over 'truck'
6556,vacuum truck expense coverage,1,1,Service Performance,high,'vacuum truck' over 'truck'
6557,vacuum truck procurement financing,1,1,Service Performance,high,'vacuum truck' over 'procurement'
6558,vacuum truck service affordability,1,1,Service Performance,high,'vacuum truck' over 'affordab'
6559,vacuum truck service cost,1,1,Service Performance,low,'vacuum truck' over 'service cost'
6560,vacuum truck service delivery,1,1,Service Performance,high,'service deliver' over 'truck'
6561,vacuum truck wait time,1,1,Service Performance,high,'vacuum truck' over 'truck'
6562,vacuum trucks,1,1,Service Performance,high,matched 'vacuum truck'
6563,valuation of water,1,1,Service Performance,low,token-overlap fallback (29)
6564,value of new water scheme construction,1,1,Infrastructure,high,matched 'scheme construction'
6565,vehicle availability,1,1,Infrastructure,high,matched 'vehicle'
6566,vehicle oil and waste from driving training center,1,1,Capacity Building,low,'training' over 'vehicle'
6567,vehicle provision,1,1,Infrastructure,high,matched 'vehicle'
6568,vehicle provision to water office,1,1,Infrastructure,high,matched 'vehicle'
6569,vested interest in scheme operation,1,1,O&M,high,matched 'scheme operation'
6570,village administrator as signatory,1,1,Community / Users,low,no match — defaulted to Community / Users
6571,village administrator involvement,1,1,Community Management,low,token-overlap fallback (2)
6572,village administrator involvement in new projects,1,1,Community Management,low,token-overlap fallback (2)
6573,village administrator participation in committee meetings,1,1,Community Management,high,matched 'participation'
6574,village clustering,1,1,Community / Users,low,no match — defaulted to Community / Users
6575,village-level organization,1,1,Coordination,low,token-overlap fallback (2)
6576,village-level waste containers,1,1,Service Performance,low,token-overlap fallback (6)
6577,violation penalty level,1,1,Laws + Regulations,high,matched 'penalty'
6578,violations of environmental and sanitation regulations,1,1,Environmental,high,'environmental' over 'regulation'
6579,violence at water sources,1,1,Service Performance,low,token-overlap fallback (29)
6580,visibility of actor interventions,1,1,Private Sector,low,token-overlap fallback (1)
6581,visibility of scheme status,1,1,Infrastructure,low,token-overlap fallback (4)
6582,visionary leadership,1,1,Govt Management,high,matched 'leadership'
6583,visual appearance of water (looks clean),1,1,Service Performance,low,token-overlap fallback (31)
6584,vocational training for professionals,1,1,Govt Management,high,'professional' over 'training'
6585,volume of liquid and solid waste,1,1,Service Performance,high,matched 'solid waste'
6586,volume-based waste disposal fees,1,1,Community / Users,low,token-overlap fallback (11)
6587,voluntary basis of committee service,1,1,Community Management,high,matched 'committee'
6588,voluntary management structure,1,1,O&M,low,token-overlap fallback (6)
6589,vulnerability to climatic shocks,1,1,Community / Users,low,no match — defaulted to Community / Users
6590,waiting time at water facilities,1,1,Infrastructure,high,matched 'facilities'
6591,walking distance to water sources,1,1,Service Performance,low,token-overlap fallback (29)
6592,walking distances for water,1,1,Service Performance,low,token-overlap fallback (29)
