factor,bucket,confidence,rationale,total_refs
private sector infrastructure development capacity,Infrastructure,medium,'infrastructure' over 'private sector',1
private sector investment,Private Sector,high,'private sector' over 'investment',1
private sector involvement in water management,Private Sector,high,matched 'private sector',1
private sector involvement in water scheme management,O&M,high,'water scheme management' over 'private sector',1
private sector maintenance engagement,Private Sector,medium,'private sector' over 'maintenance',1
private sector self-supply development,Private Sector,high,matched 'private sector',1
private sector viability in rural water,Private Sector,high,matched 'private sector',1
private sector water management,Private Sector,high,matched 'private sector',1
private sector-county government coordination,Private Sector,high,'private sector' over 'government',1
private spare parts supply enterprises,O&M,medium,'spare part' over 'enterprise',1
private toilet ownership,Community Management,high,'ownership' over 'toilet',1
private waste collection service cost,Service Performance,high,'waste collection service' over 'service cost',1
private youth-led waste collection,Service Performance,high,'waste collect' over 'youth',1
privatization,Community / Users,low,no match — defaulted to Community / Users,1
proactive borehole development,Infrastructure,high,matched 'borehole',1
proactive demand planning,Planning,medium,'planning' over 'demand',1
proactive sanitation planning,Planning,high,matched 'planning',1
problem identification and resolution,Service Performance,low,token-overlap fallback (1),1
problem identification and response,Service Performance,low,token-overlap fallback (2),1
problem identification and solution planning,Planning,high,matched 'planning',1
problem identification capacity,Capacity Building,low,token-overlap fallback (7),1
problem reporting to woreda water office,Monitoring,high,'reporting' over 'woreda',1
problem resolution,Service Performance,low,token-overlap fallback (1),1
problem resolution speed,Service Performance,low,token-overlap fallback (1),1
problem response timeliness,Service Performance,high,matched 'response time',1
problem-solving capacity,Capacity Building,low,token-overlap fallback (7),1
procurement bureaucracy,Private Sector,medium,'procurement' over 'bureaucra',1
procurement cost,Private Sector,high,matched 'procurement',1
procurement cycle delays,Private Sector,high,matched 'procurement',1
procurement delay,Private Sector,high,matched 'procurement',1
procurement mismanagement,Private Sector,medium,'procurement' over 'mismanage',1
procurement of repair materials,Private Sector,high,'procurement' over 'repair',1
procurement of technical experts,Private Sector,high,'procurement' over 'expert',1
procurement process complexity,Private Sector,high,matched 'procurement',1
procurement process delays,Private Sector,high,matched 'procurement',1
procurement process duration,Private Sector,high,matched 'procurement',1
procurement restart,Private Sector,high,matched 'procurement',1
procurement timeline,Private Sector,high,matched 'procurement',1
procurement timeliness,Private Sector,high,matched 'procurement',1
production and maintenance cost coverage,O&M,high,'maintenance' over 'coverage',1
production cost,O&M,low,token-overlap fallback (8),1
professional background of user committees,Community Management,high,'user committee' over 'professional',1
professional development training,Govt Management,high,'professional' over 'training',1
professional management,Govt Management,high,matched 'professional',1
professional management of water schemes,Govt Management,high,matched 'professional',1
professional personnel in rural water sector,Govt Management,high,matched 'professional',1
professional service providers,Private Sector,high,'service provider' over 'professional',1
professional staff in WSPs,Govt Management,high,matched 'professional',1
professional water service providers,Private Sector,high,'water service provider' over 'water service',1
professionalism in management,Govt Management,high,matched 'professional',1
professionalization of rural water sector,Govt Management,high,matched 'professional',1
program accountability,Monitoring,high,matched 'accountab',1
program awareness of office head,Community / Users,high,matched 'awareness',1
program beneficiary reach,Capacity Building,low,token-overlap fallback (2),1
program continuity,Sustainability,low,token-overlap fallback (1),1
program impact,Community / Users,low,no match — defaulted to Community / Users,1
program implementation quality,Infrastructure,high,matched 'implementation',1
program operation manual cascading to local governments,Govt Management,high,matched 'government',1
program overlap and duplication,Coordination,high,matched 'duplication',1
program transparency,Community Finance,high,matched 'transparen',1
project bank account,Planning,low,token-overlap fallback (7),1
project budget,Govt / External Finance,high,matched 'budget',1
project committee formation,Community Management,high,matched 'committee',1
project completion despite budget shortage,Govt / External Finance,high,matched 'budget',1
project continuity after withdrawal,Planning,low,token-overlap fallback (7),1
project coordination,Coordination,high,matched 'coordinat',1
project data quality,Monitoring,high,matched 'data quality',1
project delivery,Planning,low,token-overlap fallback (7),1
project design alignment with community priorities,Planning,high,'project design' over 'community',1
project design and follow-up quality,Planning,high,'project design' over 'follow-up',1
project design quality,Planning,high,matched 'project design',1
project documentation,Planning,low,token-overlap fallback (7),1
project effectiveness,Planning,low,token-overlap fallback (7),1
project efficiency,Planning,low,token-overlap fallback (7),1
project establishment,Planning,low,token-overlap fallback (7),1
project exit strategy,Planning,high,matched 'strategy',1
project feasibility,Planning,high,matched 'feasibility',1
project financial capacity,Govt / External Finance,high,matched 'financial capacity',1
project financial sustainability,Sustainability,high,matched 'sustainab',1
project funding,Govt / External Finance,high,matched 'funding',1
project governance accountability,Govt Management,medium,'governance' over 'accountab',1
project handover to local actors,Planning,low,token-overlap fallback (7),1
project identification and selection quality,Politics,high,matched 'election',1
project impact,Planning,low,token-overlap fallback (7),1
project implementation alignment,Infrastructure,high,matched 'project implementation',1
project implementation capacity,Infrastructure,high,matched 'project implementation',1
project implementation monitoring,Infrastructure,high,'project implementation' over 'monitoring',1
project implementation process quality,Infrastructure,high,matched 'project implementation',1
project implementation standards,Infrastructure,high,'project implementation' over 'standard',1
project implementation supervision,Infrastructure,high,'project implementation' over 'supervision',1
project information sharing,Coordination,high,matched 'information sharing',1
project investment cost,Govt / External Finance,high,matched 'investment',1
project longevity,Sustainability,high,matched 'longevity',1
project management,Planning,high,matched 'project management',1
project management skills,Planning,high,matched 'project management',1
project manager,Planning,low,token-overlap fallback (7),1
project monitoring,Monitoring,high,matched 'monitoring',1
project monitoring coverage,Monitoring,medium,'monitoring' over 'coverage',1
project monitoring mechanism,Monitoring,high,matched 'monitoring',1
project performance,Planning,low,token-overlap fallback (7),1
project prioritization,Planning,high,matched 'prioritization',1
project quality standards,Laws + Regulations,high,matched 'standard',1
project rehabilitation,O&M,high,matched 'rehabilitat',1
project revenue management,Community Finance,high,matched 'revenue',1
project reviews and lessons learned,Planning,low,token-overlap fallback (7),1
project scale and population coverage,Community / Users,medium,'population' over 'coverage',1
project selection,Politics,high,matched 'election',1
project selection process,Politics,high,matched 'election',1
project self-sufficiency,Planning,low,token-overlap fallback (7),1
project site selection,Planning,high,'site selection' over 'election',1
project siting,Planning,high,matched 'siting',1
project siting appropriateness,Planning,high,matched 'siting',1
project status information,Planning,low,token-overlap fallback (7),1
project supervision and evaluation,Monitoring,high,matched 'supervision',1
project sustainability after donor withdrawal,Sustainability,high,'project sustainability' over 'donor',1
project timeline,Planning,low,token-overlap fallback (7),1
project viability,Planning,low,token-overlap fallback (7),1
prolonged community coaching,Community / Users,medium,'community' over 'coaching',1
proper budget disbursement,Govt / External Finance,high,matched 'budget',1
proper ditch management,Community / Users,low,token-overlap fallback (7),1
proper ditch use and management,Community / Users,low,token-overlap fallback (7),1
proper dumping in designated areas,Planning,high,matched 'design',1
proper dumping site,Infrastructure,high,matched 'dumping site',1
proper fund allocation,Govt / External Finance,high,matched 'fund allocation',1
proper fund utilization,Govt / External Finance,low,token-overlap fallback (11),1
proper garbage disposal practices,Community / Users,low,token-overlap fallback (14),1
proper infrastructure and vehicles for waste transport,Infrastructure,high,matched 'infrastructure',1
proper land agreements,Community / Users,low,token-overlap fallback (7),1
proper latrine use,Infrastructure,high,matched 'latrine',1
proper laundry wastewater disposal,Community / Users,low,token-overlap fallback (14),1
proper liquid and solid waste disposal,Service Performance,high,matched 'solid waste',1
proper liquid waste disposal practices,Community / Users,high,'waste disposal practice' over 'liquid waste',1
proper master plan adherence in construction,Infrastructure,high,'construction' over 'master plan',1
proper model of management,Community / Users,low,token-overlap fallback (7),1
proper operation of water schemes,Service Performance,low,token-overlap fallback (29),1
proper record keeping,Monitoring,high,matched 'record keeping',1
proper scheme use,Community / Users,low,token-overlap fallback (7),1
proper scheme utilization,Community / Users,low,token-overlap fallback (9),1
proper sewage disposal,Community / Users,low,token-overlap fallback (14),1
proper site assessment before construction,Infrastructure,high,'construction' over 'assessment',1
proper solid and liquid waste disposal,Service Performance,high,matched 'liquid waste',1
proper solid waste disposal,Service Performance,high,matched 'solid waste',1
proper solution implementation,Infrastructure,high,matched 'implementation',1
proper system implementation,Infrastructure,high,matched 'implementation',1
proper systems and legislation,Laws + Regulations,high,matched 'legislation',1
proper use and maintenance of water schemes,O&M,high,'maintenance' over 'proper use',1
proper use of existing water schemes,Community / Users,high,matched 'proper use',1
proper use of project funds,Community / Users,high,matched 'proper use',1
proper use of water infrastructure,Infrastructure,high,'infrastructure' over 'proper use',1
proper use of water storage containers,Infrastructure,high,'water storage' over 'proper use',1
proper utilization of water facilities,Community / Users,high,'proper utilization' over 'facilities',1
proper utilization of water schemes,Community / Users,high,matched 'proper utilization',1
proper waste collection places and containers,Service Performance,high,matched 'waste collect',1
proper waste disposal behavior,Community / Users,high,matched 'waste disposal behavior',1
proper waste disposal in communal areas,Community / Users,high,matched 'proper waste disposal',1
proper waste sorting by households,Community / Users,high,matched 'household',1
proper water utilization,Service Performance,low,token-overlap fallback (29),1
protected disposal areas,Community / Users,low,token-overlap fallback (7),1
protected liquid waste disposal areas,Service Performance,high,matched 'liquid waste',1
protection from animals,Environmental,low,token-overlap fallback (2),1
protection of water infrastructure,Infrastructure,high,matched 'infrastructure',1
protection of water points and solar panels,Infrastructure,high,matched 'water point',1
protection of water schemes from misuse,Community / Users,high,matched 'misuse',1
proven and tested sanitation solutions,Service Performance,low,token-overlap fallback (10),1
public accountability measures,Monitoring,high,'accountab' over 'public',1
public and communal latrine construction,Infrastructure,high,'construction' over 'public',1
public awareness,Community / Users,high,matched 'awareness',1
public awareness of waste recycling benefits,Community / Users,high,matched 'awareness',1
public awareness on waste disposal consequences,Community / Users,high,matched 'awareness',1
public awareness on water conservation,Community / Users,high,matched 'awareness',1
public awareness on water use,Community / Users,high,matched 'awareness',1
public environmental compliance,Environmental,high,'environmental' over 'compliance',1
public evidence of environmental harms,Environmental,high,'environmental' over 'public',1
public health condition,Community / Users,high,matched 'public',1
public health near disposal areas,Community / Users,high,matched 'public',1
public health problems from poor sanitation,Community / Users,high,matched 'public',1
public health problems near disposal site,Infrastructure,high,'disposal site' over 'public',1
public health risk,Community / Users,high,matched 'public',1
public health risk from liquid waste,Service Performance,high,'liquid waste' over 'public',1
public hygiene,Community / Users,high,matched 'hygiene',1
public latrine availability,Infrastructure,medium,'latrine' over 'public',1
public latrine cleanliness,Community / Users,high,'cleanliness' over 'latrine',1
public latrine management,Infrastructure,medium,'latrine' over 'public',1
public latrine service quality,Service Performance,high,'service quality' over 'latrine',1
public latrines,Infrastructure,medium,'latrine' over 'public',1
public latrines at public gathering areas,Infrastructure,medium,'latrine' over 'public',1
public latrines construction,Infrastructure,high,'construction' over 'public',1
public ownership of schemes,Community Management,high,'ownership' over 'public',1
public participation,Community Management,high,'participation' over 'public',1
public participation in intervention selection,Community Management,high,'participation' over 'election',1
public participation in planning,Community Management,high,'participation' over 'planning',1
public participation in water activities,Community Management,high,'participation' over 'public',1
public sanitation facilities,Infrastructure,high,'facilities' over 'public',1
public toilet financial sustainability,Sustainability,high,'sustainab' over 'toilet',1
public toilet infrastructure,Infrastructure,high,'infrastructure' over 'public',1
public toilet usability,Infrastructure,medium,'toilet' over 'public',1
public toilet use,Infrastructure,medium,'toilet' over 'public',1
public toilet utilization,Infrastructure,medium,'toilet' over 'public',1
public water pipe dependence,Community / Users,medium,'public' over 'pipe',1
public water scheme functionality,Service Performance,high,'functionality' over 'public',1
public-private partnerships,Private Sector,high,'private partnership' over 'partnership',1
pump and borehole servicing training,O&M,medium,'servicing' over 'borehole',1
pump and infrastructure maintenance,Infrastructure,high,'infrastructure' over 'maintenance',1
pump and power generator dependency,Infrastructure,high,matched 'generator',1
pump cost,O&M,low,token-overlap fallback (8),1
pump damage,Infrastructure,low,token-overlap fallback (2),1
pump loan agreement with local supplier,Private Sector,high,matched 'supplier',1
pump operation,O&M,low,token-overlap fallback (5),1
pump repair technicians,O&M,high,matched 'technician',1
pump replacement,Infrastructure,low,token-overlap fallback (2),1
pumping generator availability,Infrastructure,high,matched 'generator',1
pumping scheme O&M costs,O&M,medium,matched 'o&m',1
pure drinking water in schools,Service Performance,high,'drinking water' over 'school',1
pure drinking water supply,Service Performance,high,matched 'drinking water',1
qualification of assigned personnel,Govt Management,high,matched 'personnel',1
qualified expert involvement in assessment,Planning,high,'assessment' over 'expert',1
qualified expert involvement in water scheme planning,Planning,medium,'planning' over 'expert',1
qualified experts in sector,Govt Management,high,matched 'expert',1
qualified labor recruitment,Community Management,low,token-overlap fallback (1),1
qualified local consultants,Govt Management,low,token-overlap fallback (2),1
qualified quality control personnel,Monitoring,high,'quality control' over 'personnel',1
qualified technical workers,Capacity Building,low,token-overlap fallback (2),1
qualified technicians at woreda level,O&M,high,'technician' over 'woreda',1
qualified workforce,Govt Management,high,matched 'workforce',1
quality contractors,Private Sector,high,matched 'contractor',1
quality control mechanisms during project handover,Monitoring,high,matched 'quality control',1
quality control of project inputs and materials,Monitoring,high,matched 'quality control',1
quality latrines,Infrastructure,high,matched 'latrine',1
quality materials,Service Performance,low,token-overlap fallback (3),1
quality of implementation,Infrastructure,high,matched 'implementation',1
quality of infrastructure proposals,Infrastructure,high,matched 'infrastructure',1
quality of life,Community / Users,high,matched 'quality of life',1
quality of water infrastructure,Infrastructure,high,matched 'infrastructure',1
quarterly WASH Forum,Coordination,high,matched 'wash forum',1
quarterly evaluation of coordination plan,Monitoring,medium,'evaluation' over 'coordinat',1
radio outreach on water issues,Capacity Building,high,matched 'outreach',1
rain-fed agriculture dependence,Community / Users,high,'agriculture' over 'rain',1
rainfall,Environmental,high,matched 'rainfall',1
rainfall season,Environmental,high,matched 'rainfall',1
rainfall storage capacity,Environmental,high,matched 'rainfall',1
rainwater conservation,Environmental,low,token-overlap fallback (1),1
rainwater harvesting adoption,Environmental,high,matched 'rainwater harvest',1
rainwater harvesting facilities at health centres,Environmental,high,'rainwater harvest' over 'facilities',1
rainwater harvesting reservoirs,Environmental,high,'rainwater harvest' over 'reservoir',1
rainy season flooding,Environmental,high,matched 'flooding',1
random liquid waste dumping,Service Performance,high,matched 'liquid waste',1
rapid breakdown response,Service Performance,high,matched 'breakdown',1
rapid failure response,Service Performance,low,token-overlap fallback (1),1
rapid population growth,Community / Users,high,matched 'population',1
rapid residential expansion,Infrastructure,medium,'expansion' over 'resident',1
rapid response unit,Community / Users,low,token-overlap fallback (15),1
raw material delivery for water scheme construction,Infrastructure,high,matched 'scheme construction',1
raw material transport challenges,Infrastructure,high,matched 'transport',1
receipt system for water payments,Community Finance,high,matched 'payment',1
rechargeable borehole site identification,Infrastructure,high,matched 'borehole',1
recklessness,Community / Users,low,no match — defaulted to Community / Users,1
recommendation implementation,Infrastructure,high,matched 'implementation',1
recommendations,Community / Users,low,no match — defaulted to Community / Users,1
recommendations implementation,Infrastructure,high,matched 'implementation',1
recreational water availability,Service Performance,high,matched 'water availab',1
recruitment of qualified personnel,Govt Management,high,matched 'personnel',1
recurrent drought,Environmental,high,matched 'drought',1
recurrent natural disasters,Environmental,low,token-overlap fallback (1),1
recyclable material recovery,Community Finance,low,token-overlap fallback (2),1
recycling,Community / Users,low,no match — defaulted to Community / Users,1
recycling habits in society,Coordination,low,token-overlap fallback (1),1
recycling practice adoption,Community / Users,low,token-overlap fallback (1),1
recycling practices,Community / Users,low,no match — defaulted to Community / Users,1
recycling program launch,Community / Users,low,no match — defaulted to Community / Users,1
recycling training and model facilities,Infrastructure,high,'facilities' over 'training',1
reforestation,Environmental,high,matched 'reforestation',1
reforestation culture,Environmental,high,'reforestation' over 'culture',1
refresher training,Capacity Building,high,matched 'training',1
region water bureau and NGO coordination,Coordination,high,matched 'coordinat',1
regional WASH target achievement,Community Management,low,token-overlap fallback (2),1
regional and federal government and partner engagement,Coordination,low,'partner engagement' over 'federal government',1
regional bureau local knowledge,Govt Management,low,token-overlap fallback (3),1
regional bureau maintenance burden,O&M,high,matched 'maintenance',1
regional bureau oversight of water service bureau,Service Performance,high,'water service' over 'oversight',1
regional council monitoring,Monitoring,high,matched 'monitoring',1
regional governing body awareness of WASH,Community / Users,high,matched 'awareness',1
regional government WASH prioritization,Planning,high,'prioritization' over 'government',1
regional government attention to WASH,Govt Management,high,matched 'government attention',1
regional government body awareness of sanitation,Govt Management,medium,'government' over 'awareness',1
regional government capital budget,Govt Management,high,'government' over 'budget',1
regional government procurement,Private Sector,low,'procurement' over 'government',1
regional government sanitation instruction,Govt Management,high,matched 'government',1
regional government support,Govt / External Finance,high,'government support' over 'government',1
regional official and NGO support,Govt / External Finance,high,'ngo support' over 'official',1
regional oversight chain,Monitoring,high,matched 'oversight',1
regional procurement authority,Private Sector,high,matched 'procurement',1
regional report compilation efficiency,Monitoring,high,matched 'report',1
regional spare parts supply timeliness,O&M,high,matched 'spare part',1
regional steering committee oversight,Community Management,medium,'committee' over 'oversight',1
regional water bureau and NGO cooperation,Coordination,high,matched 'cooperation',1
regional water bureau procurement,Private Sector,high,matched 'procurement',1
regional water office responsiveness,Service Performance,low,token-overlap fallback (29),1
regional water office technical support,Capacity Building,high,matched 'technical support',1
registration and deposit fees,Community / Users,low,no match — defaulted to Community / Users,1
regular WASH coordination meetings,Coordination,high,matched 'coordinat',1
regular WASH forum meetings,Coordination,high,matched 'wash forum',1
regular assessment,Planning,high,matched 'assessment',1
regular awareness programs,Community / Users,high,matched 'awareness',1
regular community education,Capacity Building,high,'community education' over 'community',1
regular community water supply,Service Performance,high,'water supply' over 'community',1
regular follow up and maintenance,O&M,high,'maintenance' over 'follow up',1
regular inspection and tank cleaning,Monitoring,high,'inspection' over 'tank',1
regular kebele-to-woreda reporting,Monitoring,high,'reporting' over 'woreda',1
regular maintenance and follow-up,O&M,high,'maintenance' over 'follow-up',1
regular maintenance of electric generators,O&M,high,'maintenance' over 'generator',1
regular maintenance of water schemes,O&M,high,matched 'maintenance',1
regular maintenance service,O&M,high,matched 'maintenance',1
regular management of water schemes,Service Performance,low,token-overlap fallback (30),1
regular meetings and public mobilization programs,Capacity Building,medium,'mobiliz' over 'public',1
regular monitoring and follow-up,Monitoring,high,matched 'monitoring',1
regular monitoring and follow-up of water projects,Monitoring,high,matched 'monitoring',1
regular monitoring and maintenance,O&M,high,'maintenance' over 'monitoring',1
regular monitoring and repair of water schemes,Monitoring,high,'monitoring' over 'repair',1
regular monitoring and support,Monitoring,high,matched 'monitoring',1
regular monitoring of partners and WASHCOs,Monitoring,high,'monitoring' over 'washco',1
regular monitoring of water wells,Monitoring,high,matched 'monitoring',1
regular monthly sanitation campaign,Service Performance,low,token-overlap fallback (10),1
regular officer training,Capacity Building,medium,'training' over 'officer',1
regular repair of water schemes,O&M,high,matched 'repair',1
regular servicing of water systems,O&M,high,matched 'servicing',1
regular solid waste collection and burning by community,Service Performance,high,'waste collect' over 'community',1
regular water coverage data collection,Service Performance,low,'water coverage' over 'data collection',1
regular water office follow-up,Monitoring,high,matched 'follow-up',1
regular water pump monitoring,Monitoring,high,matched 'monitoring',1
regular water well assessment,Planning,high,'assessment' over 'well',1
regulation of service providers,Private Sector,high,'service provider' over 'regulation',1
regulatory direction,Laws + Regulations,high,matched 'regulatory',1
regulatory monitoring platform,Monitoring,low,'monitoring' over 'regulatory',1
regulatory oversight,Laws + Regulations,medium,'regulatory' over 'oversight',1
regulatory oversight of water service activities,Service Performance,high,'water service' over 'regulatory',1
rehabilitation,O&M,high,matched 'rehabilitat',1
rehabilitation activities,O&M,high,matched 'rehabilitat',1
rehabilitation and maintenance,O&M,high,matched 'maintenance',1
rehabilitation costs,O&M,high,matched 'rehabilitat',1
rehabilitation materials (pumps and pipes),O&M,high,matched 'rehabilitat',1
rehabilitation of existing schemes,O&M,high,matched 'rehabilitat',1
rehabilitation of existing water infrastructure,Infrastructure,high,'infrastructure' over 'rehabilitat',1
rehabilitation of non-functional water wells,Service Performance,high,'non-functional' over 'rehabilitat',1
rehabilitation quality,O&M,high,matched 'rehabilitat',1
rehabilitation spending,O&M,high,matched 'rehabilitat',1
related sanitation problems,Service Performance,high,matched 'sanitation problem',1
reliable clean water supply,Service Performance,high,matched 'water supply',1
reliable suppliers,Private Sector,high,matched 'supplier',1
reliance on ad hoc committees,Community Management,high,matched 'committee',1
reliance on external support,Govt / External Finance,high,matched 'external support',1
reliance on groundwater,Environmental,high,matched 'groundwater',1
reliance on implementing organizations for repairs,O&M,high,matched 'repair',1
reliance on local chiefs for water project oversight,Monitoring,high,matched 'oversight',1
reliance on private sewage disposal,Private Sector,low,token-overlap fallback (11),1
reliance on private water sources,Service Performance,low,token-overlap fallback (29),1
reliance on regional experts,Govt Management,high,matched 'expert',1
reliance on urban technical experts,Govt Management,high,matched 'expert',1
relief project planning,Planning,high,matched 'planning',1
religious leader engagement with administrators,Community / Users,high,matched 'religious',1
remote borehole location,Infrastructure,high,matched 'borehole',1
remote water source location,Service Performance,low,token-overlap fallback (29),1
renewable energy (solar pumping),Infrastructure,medium,matched 'solar',1
renewable energy adoption,Infrastructure,low,token-overlap fallback (2),1
renewable energy investment,Govt / External Finance,high,matched 'investment',1
renewable/solar energy systems,Infrastructure,medium,matched 'solar',1
renewal planning and budgeting,Planning,medium,'planning' over 'budget',1
rent-seeking officials,Govt Management,high,matched 'officials',1
rental fee collection,Community Finance,high,matched 'fee collection',1
repair accessibility,O&M,high,matched 'repair',1
repair and asset replacement delays,O&M,high,matched 'repair',1
repair and maintenance quality,O&M,high,matched 'maintenance',1
repair and servicing of plants,O&M,high,matched 'servicing',1
repair cost,O&M,high,matched 'repair',1
repair downtime,Service Performance,high,'downtime' over 'repair',1
repair during budget gaps,O&M,medium,'repair' over 'budget',1
repair funding capacity,Govt / External Finance,low,'funding' over 'repair',1
repair period,O&M,high,matched 'repair',1
repair quality,O&M,high,matched 'repair',1
repair response capacity,O&M,high,matched 'repair',1
repair response delay,O&M,high,matched 'repair',1
repair service coverage,Service Performance,high,'service coverage' over 'repair',1
repair support,O&M,high,matched 'repair',1
repair time,O&M,high,matched 'repair',1
repair turnaround time,O&M,high,matched 'repair',1
repairs and maintenance,O&M,high,matched 'maintenance',1
replacement of old water supply lines,Service Performance,high,matched 'water supply',1
reporting and evaluation,Monitoring,high,matched 'evaluation',1
reporting compliance,Laws + Regulations,medium,'compliance' over 'reporting',1
reporting structures for breakdowns,Service Performance,medium,'breakdown' over 'reporting',1
representative board composition,Community / Users,low,no match — defaulted to Community / Users,1
required water selling price,Service Performance,low,token-overlap fallback (29),1
research and planning,Planning,high,matched 'planning',1
research before scheme establishment,Infrastructure,low,token-overlap fallback (4),1
research on population and water resources,Environmental,high,'water resource' over 'population',1
research on underground water resources,Environmental,high,matched 'water resource',1
reserve pumps,Community / Users,low,no match — defaulted to Community / Users,1
reserve pumps and spare parts availability,O&M,high,matched 'spare part',1
reservoir climate suitability,Infrastructure,high,'reservoir' over 'climate',1
reservoir fill time,Infrastructure,high,matched 'reservoir',1
reservoir filling,Infrastructure,high,matched 'reservoir',1
reservoir lifespan,Infrastructure,high,matched 'reservoir',1
reservoir management,Infrastructure,high,matched 'reservoir',1
resident health,Community / Users,high,matched 'resident',1
residential area contamination,Community / Users,high,matched 'contaminat',1
residential area planning,Community / Users,low,'resident' over 'planning',1
residential construction growth,Infrastructure,high,'construction' over 'resident',1
residential construction standards for drainage,Infrastructure,high,'construction' over 'resident',1
residential sewage overflow,Community / Users,high,matched 'resident',1
resolution of difficult water service issues,Service Performance,high,matched 'water service',1
resource allocation to water office,Govt / External Finance,high,matched 'resource allocation',1
resource and budget gap,Govt / External Finance,high,matched 'budget',1
resource and capacity limitation,Capacity Building,low,token-overlap fallback (7),1
resource centralization,Govt / External Finance,low,token-overlap fallback (3),1
resource decentralization,Govt / External Finance,low,token-overlap fallback (3),1
resource devolution to sub-counties,Govt / External Finance,low,token-overlap fallback (3),1
resource gap filling,Govt / External Finance,low,token-overlap fallback (3),1
resource inventory,Govt / External Finance,low,token-overlap fallback (3),1
resource leverage for water projects,Service Performance,low,token-overlap fallback (29),1
resource misuse,Community / Users,high,matched 'misuse',1
resource mobilization for sanitation,Govt / External Finance,high,'resource mobiliz' over 'mobiliz',1
resource mobilization from government and NGOs,Govt / External Finance,high,'resource mobiliz' over 'government',1
resource mobilization from multiple bodies,Govt / External Finance,high,'resource mobiliz' over 'mobiliz',1
resource mobilizing party,Govt / External Finance,high,'resource mobiliz' over 'mobiliz',1
resource overlap,Govt / External Finance,low,token-overlap fallback (3),1
resource pooling across water projects,Service Performance,low,token-overlap fallback (29),1
resource pooling among organizations,Govt / External Finance,low,token-overlap fallback (3),1
resource pooling for water access,Service Performance,high,matched 'water access',1
resource recovery from waste,Service Performance,low,token-overlap fallback (6),1
resource scarcity,Govt / External Finance,low,token-overlap fallback (3),1
resource use efficiency,Govt / External Finance,low,token-overlap fallback (3),1
resource utilization,Govt / External Finance,low,token-overlap fallback (3),1
resource utilization from waste,Service Performance,low,token-overlap fallback (6),1
resource waste,Service Performance,low,token-overlap fallback (6),1
resource waste and project duplication,Coordination,high,matched 'duplication',1
resources and facilities,Infrastructure,high,matched 'facilities',1
resources for developmental activities,Community / Users,low,no match — defaulted to Community / Users,1
response time for repairs and maintenance,Service Performance,high,'response time' over 'maintenance',1
response time to minor water issues,Service Performance,high,matched 'response time',1
response time to water breakdowns,Service Performance,high,matched 'response time',1
responsibility sharing among actors,Coordination,low,token-overlap fallback (4),1
responsible body for water scheme monitoring,Monitoring,high,matched 'monitoring',1
responsible coordinating body,Coordination,high,matched 'coordinat',1
responsible personnel assignment,Govt Management,high,matched 'personnel',1
responsible resource use,Govt / External Finance,low,token-overlap fallback (3),1
responsible sanitation behavior,Community / Users,high,matched 'behavior',1
responsible sanitation oversight personnel,Govt Management,medium,'personnel' over 'oversight',1
responsible sector action,Coordination,low,token-overlap fallback (3),1
responsiveness of sector offices,Coordination,low,token-overlap fallback (3),1
responsiveness of water and sanitation sector,Service Performance,low,token-overlap fallback (39),1
responsiveness to community needs,Community / Users,high,matched 'community',1
responsiveness to user demands,Community / Users,high,matched 'user demand',1
responsiveness to water issues,Service Performance,low,token-overlap fallback (29),1
restrictions on individual connection water resale,Service Performance,low,token-overlap fallback (29),1
revenue availability for maintenance,O&M,high,'maintenance' over 'revenue',1
revenue available for maintenance,O&M,high,'maintenance' over 'revenue',1
revenue banking,Community Finance,high,matched 'revenue',1
revenue collection base,Community Finance,high,matched 'revenue collection',1
revenue for waste management services,Service Performance,high,'waste management' over 'revenue',1
revenue from waste byproducts,Community Finance,high,matched 'revenue',1
revenue gap,Community Finance,high,matched 'revenue',1
revenue misappropriation,Community Finance,high,matched 'revenue',1
revenue monitoring,Monitoring,high,'monitoring' over 'revenue',1
revenue reinvestment into maintenance,O&M,medium,'maintenance' over 'investment',1
revenue source diversification,Community Finance,high,matched 'revenue',1
reverse osmosis machines,Community / Users,low,no match — defaulted to Community / Users,1
reverse osmosis maintenance complexity,O&M,high,matched 'maintenance',1
reverse osmosis output capacity,Capacity Building,low,token-overlap fallback (7),1
revised rules,Laws + Regulations,medium,matched 'rules',1
revolving fund,Govt / External Finance,low,token-overlap fallback (11),1
rigorous assessment of water potential,Planning,high,matched 'assessment',1
river and tap-water pollution,Environmental,high,'pollution' over 'tap',1
river and water body pollution,Environmental,high,matched 'pollution',1
river restoration,Environmental,medium,matched 'river',1
river water potability,Environmental,medium,matched 'river',1
river water treatment project implementation,Infrastructure,high,'project implementation' over 'water treatment',1
river water treatment scheme,Service Performance,high,'water treatment' over 'river',1
river water use for construction,Infrastructure,high,'construction' over 'river',1
river water use for irrigation,Community / Users,high,'irrigation' over 'river',1
river-based water sources,Environmental,medium,matched 'river',1
river/air/soil pollution,Environmental,high,matched 'pollution',1
road access to rural kebeles,Infrastructure,medium,matched 'road',1
road accessibility to disposal site,Infrastructure,high,matched 'disposal site',1
road and water infrastructure,Infrastructure,high,matched 'infrastructure',1
road condition,Infrastructure,medium,matched 'road',1
road condition to disposal site,Infrastructure,high,matched 'disposal site',1
road conditions,Infrastructure,medium,matched 'road',1
